AgentRole|isRoleOf;isClassifiedBy;hasRole
Airline|hasAircraft
AquaticResources|hasSpecies;hasWaterArea
Bag|hasItem;itemOf;hasMember;isMemberOf
Biological Entities|includesSpecies;includesOrder;includesFamily
Classification|isClassifiedBy;classifies
ClimaticZone|hasClimaticZone;isClimaticZoneOf;isResourceOf;hasResource
Co-participation|coparticipatesWith;hasParticipant;isParticipantIn
Collection|hasMember;isMemberOf
Componency|hasComponent;isComponentOf
ConceptTerms|composes;composedBy;hasForPT;isSNPTInConceptTermsRelation;isPTInConceptTermsRelation;isConceptInConceptTermsRelation
Constituency|hasConstituent;isConstituentOf
Criterion|is criterion for
CriterionSetter|criterion set by;has validity for;sets criterion;is determined by
Description|isDefinedIn;defines;isDefinedBy
DescriptionAndSituation|isSatsifiedBy;satisfies;isDescribedBy;describes
GearSpecies|incidentallyCatchesSpecies;targetsSpecies
GearVessel|usesGearType;usedByVesselType
GearWaterArea|isSuitableForGearType;isUsedInWaterArea
HasPest|hasPest
InformationRealization|isRealizedBy;realizes
IntensionExtension|expresses;isReferenceOf;isExpressedBy;isAbout
List|hasItem;previousItem;nextItem;itemOf;hasLastItem;hasFirstItem
Literal Reification|hasLiteralValue;hasLiteral;isLiteralOf
Metonomy-species-commodity|usedForCommodity
NaryParticipation|hasParticipant;isParticipantIn;participationIncludes;isSettingFor;hasIntervalDate;hasIntervalStartDate;hasIntervalEndDate
ObjectRole|isRoleOf;hasRole
Observation|hasParameter;isObservationOf;isParameterOf;isSettingFor;hasSetting
Parameter|hasParameter;isParameterFor
PartOf|hasPart;isPartOf
ParticipantRole|participatingInEvent;objectParticipating;roleOfParticipant
PharmaInnova|hasHeader;has_body;has_summary;has_header
Place|isLocationOf
Price|hasCurrency;hasPrice;isPriceOf
RTMSMapping|hasRTMSCode
Region|isRegionFor;hasRegion
ResourceAbudanceObservation|hasAbundanceLevel;hasResource;isResourceOf
ResourceExploitationObservation|hasExploitationRate;hasExploitationState;isResourceOf;isExploitationStateOf;hasResource
RoleTask|hasTask;isTaskOf
Sequence|directlyPrecedes;precedes;directlyFollows;follows
Set|isMemberOf;hasMember
SimpleOrAggregated|hasAggregatedMember;isAggregatedMemberOf
Situation|hasSetting;isSettingFor
SpeciesBathymetry|isBathymetricRangeOf;hasBathymetricRange
SpeciesEat|feedsUpon;isPreyedUponBy;isFoodOf;preysUpon
SpeciesHabitat|hasHabitat;isHabitatFor
TaskExecution|hasParticipant;executesTask;isTaskOf;isExecutedIn
TimeIndexedPersonRole|hasRole;isRoleOf;classifies;isSettingFor
TimeIndexedPartOf|isPartObjectOf;atTime;isWholeObjectOf;isSettingFor;isTimeOf;includesPartObject;includesWholeObject;hasIntervalDate
TimeInterval|hasIntervalDate;hasIntervalEndDate;hasIntervalStartDate
Transition|hasEventAtTime;hasFinalStateAtTime;hasInitialStateAtTime;isSettingFor
VerticalDistribution|hasResource;isResourceOf;isVerticalDistributionOf;hasVerticalDistribution
VesselWaterArea|canCrossWaterArea;canBeCrossedByVesselType
Uncertainty1|may
Uncertainty2|can
Uncertainty3|could
Exceptions1|typical
Exceptions2|normal
Sequence|immediately
